,city,order_date,source,order_id,booking_amount,actual_city_name,seller_locality,payment_mode,logistic_provider_name,fulfillment_type,package_type,sample_type,Radiography
0,BENGALURU,02-12-2022,APP,638a041b12c34481a4ca9b0b,0,BENGALURU,BENGALURU,NO-PAYMENT-REQUIRED,,AT-CENTER,HA,other,HAother
1,BENGALURU,04-12-2022,APP,638c362a12c344432fcad7e0,0,BENGALURU,BENGALURU,NO-PAYMENT-REQUIRED,,AT-CENTER,HA,other,HAother
2,BENGALURU,09-12-2022,Inbound-SEM,6392b02f8e918ba040eff59f,3415,BENGALURU,RAJAJI NAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
3,DELHI,12-12-2022,Outbound Lead,6396f7fd49867aa6f2e2f576,2450,DELHI,KIRTI NAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
4,DELHI,17-12-2022,Inbound-SEM,639d986c49867af659e3de82,2200,DELHI,SDA,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
5,MUMBAI,19-12-2022,Exotel Lead,63a004c38e918be32cf1b39b,150,MUMBAI,POWAI,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
6,DELHI,20-12-2022,APP,63a1914049867a45c8e463f0,5850,DELHI,RAJENDER NAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
7,PUNE,22-12-2022,Outbound Lead,63a47bf049867a66bae4d1fc,3500,PUNE,KOTHRUD,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
8,HYDERABAD,23-12-2022,APP,63a535658e918b405af26944,0,HYDERABAD,CHANDRA NAGAR,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
9,Other,23-12-2022,Agent Upsell,63a5a1f38e918b51b5f27de3,2649.45,Ahmedabad,,POD,Northstar,AT-HOME,HA,other,HAother
10,BENGALURU,24-12-2022,APP,63a683448e918bcd95f2908a,0,BENGALURU,RAJAJI NAGAR,NO-PAYMENT-REQUIRED,,AT-CENTER,HA,other,HAother
11,BENGALURU,24-12-2022,APP,63a6a17449867a6697e50f96,0,BENGALURU,INDIRA NAGAR,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
12,BENGALURU,24-12-2022,APP,63a6a1d78e918b0644f2980c,0,BENGALURU,INDIRA NAGAR,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
13,HYDERABAD,26-12-2022,Inbound-SEM,63a91e2e8e918b977bf2df33,2930,HYDERABAD,CHANDANAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
14,PUNE,26-12-2022,Inbound-SEM,63a9566d49867a01a6e5643d,3500,PUNE,KOTHRUD,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
15,BENGALURU,26-12-2022,APP,63a96cf68e918be124f2ef2b,0,BENGALURU,MARATHALLI,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
16,DELHI,27-12-2022,Exotel Lead,63aa9a058e918b997ff318c4,3220,DELHI,KIRTI NAGAR,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
17,HYDERABAD,27-12-2022,APP,63ab0ab78e918b399df32fbb,0,HYDERABAD,MANIKONDA,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
18,BENGALURU,28-12-2022,APP,63abc16e8e918b1f86f3421d,0,BENGALURU,MARATHALLI,NO-PAYMENT-REQUIRED,,AT-CENTER,Lab-Test,other,Lab-Testother
19,MUMBAI,28-12-2022,Agent Upsell,63abf8fc8e918b1891f35193,250,MUMBAI,THANE,POD,,AT-CENTER,Lab-Test,imaging,Lab-Testimaging
